date,time,open,high,low,close,K,D,KD
2026-06-18,09:40,46432.0,46507.0,46432.0,46472.0,64.68,68.43,-3.75
2026-06-18,09:45,46474.0,46474.0,46318.0,46372.0,50.68,62.52,-11.84
2026-06-18,09:50,46380.0,46487.0,46380.0,46437.0,50.46,58.5,-8.04
2026-06-18,09:55,46436.0,46461.0,46320.0,46376.0,41.76,52.92,-11.16
2026-06-18,10:00,46406.0,46444.0,46355.0,46428.0,43.25,49.69,-6.44
2026-06-18,10:05,46432.0,46529.0,46423.0,46514.0,56.28,51.89,4.39
2026-06-18,10:10,46509.0,46609.0,46479.0,46602.0,70.05,57.94,12.11
2026-06-18,10:15,46678.0,46700.0,46640.0,46662.0,76.72,64.2,12.52
2026-06-18,10:20,46671.0,46689.0,46578.0,46578.0,73.83,67.41,6.42
2026-06-18,10:25,46570.0,46575.0,46494.0,46494.0,64.58,66.47,-1.89
2026-06-18,10:30,46501.0,46576.0,46471.0,46546.0,62.88,65.27,-2.39
2026-06-18,10:35,46538.0,46540.0,46496.0,46530.0,60.34,63.63,-3.29
2026-06-18,10:40,46537.0,46548.0,46502.0,46540.0,58.1,61.79,-3.69
2026-06-18,10:45,46534.0,46535.0,46452.0,46486.0,46.32,56.63,-10.31
2026-06-18,10:50,46489.0,46505.0,46389.0,46414.0,33.56,48.94,-15.38
2026-06-18,10:55,46416.0,46443.0,46385.0,46434.0,27.56,41.81,-14.25
2026-06-18,11:00,46434.0,46455.0,46410.0,46439.0,24.29,35.97,-11.68
2026-06-18,11:05,46439.0,46441.0,46389.0,46441.0,25.97,32.64,-6.67
2026-06-18,11:10,46440.0,46441.0,46344.0,46368.0,20.76,28.68,-7.92
2026-06-18,11:15,46369.0,46425.0,46369.0,46419.0,26.09,27.82,-1.73
2026-06-18,11:20,46421.0,46444.0,46356.0,46364.0,20.66,25.43,-4.77
2026-06-18,11:25,46374.0,46379.0,46356.0,46372.0,18.66,23.18,-4.52
2026-06-18,11:30,46379.0,46428.0,46379.0,46413.0,26.73,24.36,2.37
2026-06-18,11:35,46415.0,46415.0,46283.0,46334.0,27.7,25.47,2.23
2026-06-18,11:40,46336.0,46388.0,46312.0,46388.0,38.82,29.92,8.9
2026-06-18,11:45,46393.0,46434.0,46386.0,46425.0,55.28,38.37,16.91
2026-06-18,11:50,46423.0,46479.0,46423.0,46440.0,63.55,46.77,16.78
